ZIP_CODE	TERRITORY_ID	TERRITORY_NAME	CITY	STATE	REGION_ID	REGION_NAME
00693	99999	UNASSIGNED	VEGA BAJA	PR	9000	UNASSIGNED
00694	99999	UNASSIGNED	VEGA BAJA	PR	9000	UNASSIGNED
00698	99999	UNASSIGNED	YAUCO	PR	9000	UNASSIGNED
00703	99999	UNASSIGNED	AGUAS BUENAS	PR	9000	UNASSIGNED
00704	99999	UNASSIGNED	AGUIRRE	PR	9000	UNASSIGNED
00705	99999	UNASSIGNED	AIBONITO	PR	9000	UNASSIGNED
00707	99999	UNASSIGNED	MAUNABO	PR	9000	UNASSIGNED
00714	99999	UNASSIGNED	ARROYO	PR	9000	UNASSIGNED
00715	99999	UNASSIGNED	MERCEDITA	PR	9000	UNASSIGNED
00716	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00717	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00718	99999	UNASSIGNED	NAGUABO	PR	9000	UNASSIGNED
00719	99999	UNASSIGNED	NARANJITO	PR	9000	UNASSIGNED
00720	99999	UNASSIGNED	OROCOVIS	PR	9000	UNASSIGNED
00721	99999	UNASSIGNED	PALMER	PR	9000	UNASSIGNED
00723	99999	UNASSIGNED	PATILLAS	PR	9000	UNASSIGNED
00725	99999	UNASSIGNED	CAGUAS	PR	9000	UNASSIGNED
00726	99999	UNASSIGNED	CAGUAS	PR	9000	UNASSIGNED
00727	99999	UNASSIGNED	CAGUAS	PR	9000	UNASSIGNED
00728	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00729	99999	UNASSIGNED	CANOVANAS	PR	9000	UNASSIGNED
00730	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00731	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00732	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00733	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00734	99999	UNASSIGNED	PONCE	PR	9000	UNASSIGNED
00735	99999	UNASSIGNED	CEIBA	PR	9000	UNASSIGNED
